service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0+01#84","1","1","1","1","1","0","0","20250806","20251213"
"T0+01#85","1","1","1","1","1","0","0","20250806","20251213"
"T0+01#86","1","1","1","1","1","0","0","20250806","20251213"
"T0+01#9","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,a110","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,a111","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,a812","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,b309","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,b3110","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,b512","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,biE","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,NOb","1","1","1","1","1","0","0","20250806","20251213"
"T0+01,Sbi","1","1","1","1","1","0","0","20250806","20251213"
"T0+05","1","1","1","1","1","0","0","20250806","20251213"
"T0+09","0","0","0","0","1","0","0","20250806","20251213"
"T0+09#1","0","0","0","0","1","0","0","20250806","20251213"
"T0+0A","1","1","1","1","1","0","0","20250806","20251213"
"T0+10","1","1","1","1","0","0","0","20250806","20251213"
"T0+13","1","1","1","1","0","0","0","20250806","20251213"
"T0+14","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#1","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#10","1","1","1","1","1","0","0","20250806","20250915"
"T0+14#11","1","1","1","1","1","0","0","20250929","20251213"
"T0+14#12","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#13","1","1","1","1","1","0","0","20250818","20251124"
"T0+14#14","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#15","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#16","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#17","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#18","1","1","1","1","1","0","0","20250806","20251002"
"T0+14#19","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#2","1","1","1","1","1","0","0","20250806","20250915"
"T0+14#20","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#21","1","1","1","1","1","0","0","20250806","20250831"
"T0+14#22","1","1","1","1","1","0","0","20250901","20251213"
"T0+14#23","1","1","1","1","1","0","0","20250806","20250915"
"T0+14#24","1","1","1","1","1","0","0","20250916","20251213"
"T0+14#25","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#26","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#27","0","0","1","1","1","0","0","20250806","20250808"
"T0+14#28","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#29","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#3","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#30","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#31","1","1","1","1","1","0","0","20250806","20250831"
"T0+14#32","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#33","1","1","1","1","1","0","0","20250806","20250829"
"T0+14#34","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#35","1","1","1","1","1","0","0","20250806","20250914"
"T0+14#36","1","1","1","1","1","0","0","20250806","20250915"
"T0+14#37","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#38","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#39","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#4","1","1","1","1","1","0","0","20250806","20250915"
"T0+14#40","1","1","1","1","1","0","0","20250811","20250829"
"T0+14#41","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#42","0","0","1","1","1","0","0","20250806","20250808"
"T0+14#43","1","1","1","1","1","0","0","20250809","20251031"
"T0+14#44","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#45","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#46","1","1","1","1","1","0","0","20250806","20250829"
"T0+14#47","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#48","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#49","1","1","1","1","1","0","0","20250806","20250930"
"T0+14#5","1","1","1","1","1","0","0","20250806","20250829"
"T0+14#50","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#51","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#52","1","1","1","1","1","0","0","20250806","20251031"
"T0+14#53","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#54","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#55","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#56","1","1","1","1","1","0","0","20250806","20250831"
"T0+14#57","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#58","1","1","1","1","1","0","0","20250806","20251205"
"T0+14#59","1","1","1","1","1","0","0","20251101","20251213"
"T0+14#6","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#60","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#61","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#62","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#63","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#64","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#65","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#66","1","1","1","1","1","0","0","20250806","20250831"
"T0+14#67","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#68","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#69","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#7","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#70","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#71","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#72","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#73","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#74","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#8","1","1","1","1","1","0","0","20250806","20251213"
"T0+14#9","1","1","1","1","1","0","0","20250806","20251213"
"T0+14,a111","1","1","1","1","1","0","0","20250806","20251213"
"T0+14,b3110","1","1","1","1","1","0","0","20250806","20251213"
"T0+14,b512","1","1","1","1","1","0","0","20250806","20251213"
"T0+14,Sbi","1","1","1","1","1","0","0","20250806","20251213"
"T0+1k","1","1","0","1","0","0","0","20250806","20251213"
"T0+35","0","0","0","1","1","0","0","20250806","20251213"
"T0+3n","0","1","1","0","1","0","0","20250806","20251213"
"T0+3o","1","1","1","1","1","0","0","20250806","20251213"
"T0+3r","0","0","1","0","1","0","0","20250806","20251213"
"T0+3s","1","1","0","1","1","0","0","20250806","20251213"
"T0+3v","1","1","1","1","1","0","0","20250806","20251213"
"T0+4y","1","1","1","1","1","0","0","20250806","20251213"
"T0+5h","1","1","1","1","1","0","0","20250806","20251213"
"T0+5i","1","1","1","1","1","0","0","20250806","20251213"
"T0+5p","1","1","1","1","1","0","0","20250806","20251213"
"T0+60","1","1","1","1","1","0","0","20250806","20251213"
"T0+62","1","1","1","1","1","0","0","20250806","20251213"
"T0+65","1","1","1","1","1","0","0","20250806","20250831"
"T0+65#1","1","1","1","1","1","0","0","20250901","20251213"
"T0+65#2","1","1","1","1","1","0","0","20250806","20251213"
"T0+65#3","1","1","1","1","1","0","0","20250806","20251213"
"T0+68","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#1","0","0","0","0","1","0","0","20250806","20251002"
"T0+68#10","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#2","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#3","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#4","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#5","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#6","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#7","0","0","0","0","1","0","0","20250806","20251213"
"T0+68#8","0","0","0","0","1","0","0","20250806","20250829"
"T0+68#9","0","0","0","0","1","0","0","20250806","20251213"
"T0+6o","1","1","1","1","1","0","0","20250806","20251213"
"T0+6p","0","1","0","1","1","0","0","20250806","20251213"
"T0+6v","1","1","1","1","1","0","0","20250806","20251213"
"T0+6w","0","0","0","0","1","0","0","20250806","20251213"
"T0+7d","1","1","1","1","1","0","0","20250806","20251213"
"T0+7d#1","1","1","1","1","1","0","0","20250806","20251213"
"T0+7d#2","1","1","1","1","1","0","0","20250806","20251213"
"T0+7d#3","1","1","1","1","1","0","0","20250806","20251213"
"T0+7t","1","1","1","1","1","0","0","20250806","20251213"
"T0+7w","0","0","0","0","1","0","0","20250806","20251213"
"T0+7y","1","1","1","1","1","0","0","20250806","20251213"
"T0+8","1","1","1","1","1","0","0","20250806","20251213"
"T0+84","0","0","0","0","1","0","0","20250806","20250808"
"T0+84#1","0","0","0","0","1","0","0","20250806","20251213"
"T0+84#2","0","0","0","0","1","0","0","20250806","20251213"
"T0+88","1","1","1","1","1","0","0","20250806","20251213"
"T0+89","1","1","1","1","1","0","0","20250806","20251213"
"T0+8k","1","1","1","1","1","0","0","20250806","20251213"
"T0+8m","1","1","1","1","1","0","0","20250806","20251213"
"T0+8o","1","1","1","1","1","0","0","20250806","20251213"
"T0+8r","1","1","1","1","1","0","0","20250806","20251213"
"T0+8u","0","0","0","0","1","0","0","20250806","20251213"
"T0+8v","1","1","1","1","1","0","0","20250806","20251213"
"T0+8y","1","1","1","1","1","0","0","20250806","20251213"
"T0+8z","1","1","1","1","1","0","0","20250806","20251213"
"T0+96","0","0","0","0","1","0","0","20250806","20251213"
"T0+96#1","0","0","0","0","1","0","0","20250806","20251213"
"T0+96#2","0","0","0","0","1","0","0","20250806","20251213"
"T0+96#3","0","0","0","0","1","0","0","20250806","20251213"
"T0+96#4","0","0","0","0","1","0","0","20250811","20250829"
"T0+96#5","0","0","0","0","1","0","0","20250806","20251213"
"T0+96#6","0","0","0","0","1","0","0","20250806","20250808"
"T0+96#7","0","0","0","1","1","0","0","20250809","20251031"
"T0+9b","1","1","1","1","1","0","0","20250806","20251213"
"T0+9z","1","1","1","1","1","0","0","20250806","20251213"
"T0+a5","1","1","1","1","0","0","0","20250806","20251213"
"T0+a5#1","1","1","1","1","0","0","0","20250806","20251213"
"T0+a6","0","0","0","0","1","0","0","20250806","20251213"
"T0+a6#1","0","0","0","0","1","0","0","20250806","20251213"
"T0+ag","0","0","0","0","1","0","0","20250806","20251213"
"T0+ag#1","0","0","0","0","1","0","0","20250913","20250921"
"T0+am","1","1","1","1","1","0","0","20250806","20251213"
"T0+b2","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#1","1","1","1","1","0","0","0","20250901","20251213"
"T0+b2#10","1","1","1","1","0","0","0","20250806","20250930"
"T0+b2#11","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#12","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#13","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#14","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#15","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#16","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#17","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#18","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#19","1","1","1","1","0","0","0","20250806","20251102"
"T0+b2#2","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#20","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#21","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#22","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#23","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#24","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#25","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#26","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#3","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#4","1","1","1","1","0","0","0","20250916","20251213"
"T0+b2#5","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#6","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#7","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#8","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2#9","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2,a812","1","1","1","1","0","0","0","20250806","20251213"
"T0+b2,b512","1","1","1","1","0","0","0","20250806","20251213"
"T0+b3","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#1","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#2","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#3","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#4","0","0","0","0","1","0","0","20250916","20251213"
"T0+b3#5","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#6","0","0","0","0","1","0","0","20250806","20250930"
"T0+b3#7","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#8","0","0","0","0","1","0","0","20250806","20251213"
"T0+b3#9","0","0","0","0","1","0","0","20250806","20251213"
"T0+b4","1","1","1","1","0","0","0","20250806","20251213"
"T0+b4#1","1","1","1","1","0","0","0","20250806","20251213"
"T0+b5","0","0","0","0","1","0","0","20250806","20251213"
"T0+b7","1","1","1","1","1","0","0","20250806","20251213"
"T0+biE","1","1","1","1","1","0","0","20250806","20251213"
"T0+d2","1","1","1","1","1","0","0","20250806","20251213"
"T0+d2#1","1","1","1","1","1","0","0","20250806","20251213"
"T0+d2#2","1","1","1","1","1","0","0","20250806","20251213"
"T0+d2#3","1","1","1","1","1","0","0","20250806","20251213"
"T0+d2#4","1","1","1","1","1","0","0","20250806","20251213"
"T0+d2#5","1","1","1","1","1","0","0","20250806","20251213"
"T0+dn","1","1","1","1","1","0","0","20250806","20251213"
"T0+dy","1","1","1","1","1","0","0","20250806","20251213"
"T0+ff","1","1","1","1","1","0","0","20250806","20251213"
"T0+ff#1","1","1","1","1","1","0","0","20250806","20251101"
"T0+h5","1","1","1","1","1","0","0","20250806","20251213"
"T0+j2","1","1","1","1","1","0","0","20250806","20250831"
"T0+j4","1","1","1","1","1","0","0","20250806","20251213"
"T0+j6","1","1","1","1","1","0","0","20250806","20251213"
"T0+ja","1","1","1","1","1","0","0","20250806","20251213"
"T0+ja#1","1","1","1","1","1","0","0","20250806","20251213"
"T0+ja#2","1","1","1","1","1","0","0","20250806","20251213"
"T0+ja,01","1","1","1","1","1","0","0","20250806","20251213"
"T0+ja,14","1","1","1","1","1","0","0","20250806","20251213"
"T0+jd","1","1","1","1","1","0","0","20250806","20251213"
"T0+jd#1","1","1","1","1","1","0","0","20250806","20251213"
"T0+jd,01","1","1","1","1","1","0","0","20250806","20251213"
"T0+jd,14","1","1","1","1","1","0","0","20250806","20251213"
"T0+jf","1","1","1","1","1","0","0","20250806","20251213"
"T0+jj","1","1","1","1","1","0","0","20250806","20251213"
"T0+l1","1","0","0","0","0","0","0","20250806","20251213"
"T0+l2","0","1","0","0","0","0","0","20250806","20251213"
"T0+l3","0","0","1","0","0","0","0","20250806","20251213"
"T0+l3#1","0","0","1","0","0","0","0","20250806","20251213"
"T0+l4","0","0","0","1","0","0","0","20250806","20251213"
"T0+l4#1","0","0","0","1","0","0","0","20250806","20251213"
"T0+l5","0","0","0","0","1","0","0","20250806","20251213"
"T0+l5#1","0","0","0","0","1","0","0","20250806","20251213"
"T0+l5#2","0","0","0","0","1","0","0","20250806","20251213"
"T0+l5#3","0","0","0","0","1","0","0","20250806","20251213"
"T0+l5#4","0","0","0","0","1","0","0","20250806","20251213"
