from_stop_id,to_stop_id,transfer_type,min_transfer_time
"de:09176:8390:0:1","de:09176:8549:0:1","2","240"
"de:09176:8390:0:2","de:09176:8549:0:1","2","240"
"de:09176:8549:0:1","de:09176:8390:0:1","2","240"
"de:09176:8549:0:1","de:09176:8390:0:2","2","240"
"de:09176:8840:1:1","de:09176:8840:2:1","2","180"
"de:09176:8840:2:1","de:09176:8840:1:1","2","180"
"de:09361:19500:23:2","de:09361:19500:3:1","2","180"
"de:09361:19500:23:2","de:09361:19500:3:10","2","180"
"de:09361:19500:23:2","de:09361:19500:3:11","2","180"
"de:09361:19500:23:2","de:09361:19500:3:12","2","180"
"de:09361:19500:23:2","de:09361:19500:3:13","2","180"
"de:09361:19500:23:2","de:09361:19500:3:14","2","180"
"de:09361:19500:23:2","de:09361:19500:3:15","2","180"
"de:09361:19500:23:2","de:09361:19500:3:16","2","180"
"de:09361:19500:23:2","de:09361:19500:3:2","2","180"
"de:09361:19500:23:2","de:09361:19500:3:3","2","180"
"de:09361:19500:23:2","de:09361:19500:3:4","2","180"
"de:09361:19500:23:2","de:09361:19500:3:5","2","180"
"de:09361:19500:23:2","de:09361:19500:3:6","2","180"
"de:09361:19500:23:2","de:09361:19500:3:7","2","180"
"de:09361:19500:23:2","de:09361:19500:3:8","2","180"
"de:09361:19500:23:2","de:09361:19500:3:9","2","180"
"de:09361:19500:3:1","de:09361:19500:23:2","2","180"
"de:09361:19500:3:1","de:09361:19500:3:10","2","180"
"de:09361:19500:3:1","de:09361:19500:3:11","2","180"
"de:09361:19500:3:1","de:09361:19500:3:12","2","180"
"de:09361:19500:3:1","de:09361:19500:3:13","2","180"
"de:09361:19500:3:1","de:09361:19500:3:14","2","180"
"de:09361:19500:3:1","de:09361:19500:3:15","2","180"
"de:09361:19500:3:1","de:09361:19500:3:16","2","180"
"de:09361:19500:3:1","de:09361:19500:3:2","2","180"
"de:09361:19500:3:1","de:09361:19500:3:3","2","180"
"de:09361:19500:3:1","de:09361:19500:3:4","2","180"
"de:09361:19500:3:1","de:09361:19500:3:5","2","180"
"de:09361:19500:3:1","de:09361:19500:3:6","2","180"
"de:09361:19500:3:1","de:09361:19500:3:7","2","180"
"de:09361:19500:3:1","de:09361:19500:3:8","2","180"
"de:09361:19500:3:1","de:09361:19500:3:9","2","180"
"de:09361:19500:3:10","de:09361:19500:23:2","2","180"
"de:09361:19500:3:10","de:09361:19500:3:1","2","180"
"de:09361:19500:3:10","de:09361:19500:3:11","2","180"
"de:09361:19500:3:10","de:09361:19500:3:12","2","180"
"de:09361:19500:3:10","de:09361:19500:3:13","2","180"
"de:09361:19500:3:10","de:09361:19500:3:14","2","180"
"de:09361:19500:3:10","de:09361:19500:3:15","2","180"
