route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"13-53-j25-2","","53","Luitpoldhain - Meistersingerhalle - Bauernfeindstraße - Worzeldorf - Kornburg - Schwand","Stadtbus","3"
"13-53-j25-6","","53","Luitpoldhain - Meistersingerhalle - Bauernfeindstraße - Worzeldorf - Kornburg - Schwand","Stadtbus","3"
"13-54-j25-1","","54","Langwasser Süd - Altenfurt - Fischbach - Brunn","Stadtbus","3"
"13-55-j25-1","","55","Meistersingerhalle - Frankenstadion - Langwasser Mitte","Stadtbus","3"
"13-56-j25-2","","56","Langwasser Mitte - Klinikum Süd - Fischbach - Flachsröste","Stadtbus","3"
"13-56-j25-3","","56","Langwasser Mitte - Klinikum Süd - Fischbach - Flachsröste","Stadtbus","3"
"13-57-j25-2","","57","Langwasser Mitte - Moorenbrunn - Altenfurt - Fischbach Bahnhof","Stadtbus","3"
"13-57-j25-3","","57","Langwasser Mitte - Moorenbrunn - Altenfurt - Fischbach Bahnhof","Stadtbus","3"
"13-58-j25-1","","58","Frankenstraße - Dianaplatz - Werderau / Wacholderweg","Stadtbus","3"
"13-58-j25-2","","58","Frankenstraße - Dianaplatz - Werderau / Wacholderweg","Stadtbus","3"
"13-59-j25-1","","59","Langwasser Süd - Altenfurt - Fischbach - Birnthon","Stadtbus","3"
"13-60-j25-1","","60","Röthenbach - Schulzentrum Südwest - Wertachstr. - Bremer Straße Wende","Stadtbus","3"
"13-60-j25-2","","60","Röthenbach - Schulzentrum Südwest - Wertachstr. - Bremer Straße Wende","Stadtbus","3"
"13-61-j25-2","","61","Nürnberg Röthenbach - Reichelsdorf - Holzheim - Schwabach Wolkersdorf - Bahnhof bzw. W.- v.- Eschenbach-Gymnasium","Stadtbus","3"
"13-62-j25-2","","62","Röthenbach - Koppenhof - Reichelsdorf - Katzwang - Kornburg","Stadtbus","3"
"13-62-j25-4","","62","Röthenbach - Koppenhof - Reichelsdorf - Katzwang - Kornburg","Stadtbus","3"
"13-65-j25-1","","65","Röthenbach - Frankenstraße - Ostring - Nordostbahnhof","Stadtbus","3"
"13-65-j25-5","","65","Röthenbach - Frankenstraße - Ostring - Nordostbahnhof","Stadtbus","3"
"13-65-j25-6","","65","Röthenbach - Frankenstraße - Volksfestplatz - Nordostbahnhof","Stadtbus","3"
"13-66-j25-1","","66","Röthenbach - Eibach Bahnhof - Pillenreuth","Stadtbus","3"
"13-66-j25-2","","66","Röthenbach - Eibach Bahnhof - Pillenreuth","Stadtbus","3"
"13-67-j25-1","","67","Nürnberg Frankenstr. - Röthenbach - Fürth Süd - Fürth Hauptbahnhof","Stadtbus","3"
"13-68-j25-1","","68","Gustav-Adolf-Straße - Dianaplatz - Finkenbrunn - Langwasser Mitte","Stadtbus","3"
"13-68-j25-2","","68","Gustav-Adolf-Straße - Dianaplatz - Finkenbrunn - Langwasser Mitte","Stadtbus","3"
"13-68-j25-3","","68","Gustav-Adolf-Straße - Dianaplatz - Finkenbrunn - Langwasser Mitte","Stadtbus","3"
"13-68-j25-4","","68","Gustav-Adolf-Straße - Dianaplatz - Finkenbrunn - Langwasser Mitte","Stadtbus","3"
"13-69-j25-1","","69","Gustav-Adolf-Straße - Südwestpark - Röthenbach","Stadtbus","3"
"13-69-j25-2","","69","Gustav-Adolf-Straße - Südwestpark - Röthenbach","Stadtbus","3"
"13-70-j25-2","","70","Nürnberg Gustav-Adolf-Straße - Fürth Süd - Zirndorf Kneippallee","Stadtbus","3"
"13-71-j25-2","","71","Nürnberg Gustav-Adolf-Straße - Fürth Süd - Oberasbach Linder Siedlung","Stadtbus","3"
"13-72-j25-2","","72","Nürnberg Gustav-Adolf-Straße - Fürth Süd - Zirndorf Realschule","Stadtbus","3"
"13-73-j25-2","","73","Gustav-Adolf-Straße - Kleinreuth b. Schweinau - Stadtgrenze","Stadtbus","3"
"13-81-j25-1","","81","Rufbus Holzheim (Bestellung unter Tel. 0911/283 4381)","Linientaxi","3"
"13-82-j25-1","","82","Koppenhof Wende - Krottenbach - Reichelsdorf Bahnhof","Stadtbus","3"
"13-83-j25-4","","83","Katzwang Sportplatz - Wolkersdorf - Dietersdorf - Reichelsdorf - Koppenhof","Stadtbus","3"
"13-83-j25-6","","83","Katzwang Sportplatz - Wolkersdorf Wasserschloss bzw. Dietersdorf Rosa-Mihalka-Platz - Koppenhof Wende","Stadtbus","3"
"13-84-j25-1","","84","Plärrer - Dr. Erler Kliniken","Stadtbus","3"
"13-89-j25-1","","89","Frankenstraße - Kornburg - Wendelstein Gymnasium","Stadtbus","3"
"13-89-j25-2","","89","Frankenstraße - Katzwang - Kornburg - Wendelstein Gymnasium","Stadtbus","3"
