stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"de:09463:71446:0:2","Coburg Alb.-Dürer-Str.","50.24883084","10.98643186","",""
"de:09463:71451:0:1","Coburg Sauerbruchstr.","50.25012329","10.98266792","",""
"de:09463:71451:0:2","Coburg Sauerbruchstr.","50.25020371","10.98232656","",""
"de:09463:71456:0:1","Coburg Seidmannsdorfer Str.","50.25108256","10.97941602","",""
"de:09463:71456:0:2","Coburg Seidmannsdorfer Str.","50.25108256","10.97920940","",""
"de:09463:71601:0:1","Coburg G.-Hirschfeld-Ring","50.25113426","10.97889499","",""
"de:09463:71606:0:1","Coburg Röntgenweg","50.25026115","10.97734989","",""
"de:09463:71606:0:2","Coburg Röntgenweg","50.25012904","10.97709836","",""
"de:09463:71611:0:1","Coburg Tagesklinik","50.24877340","10.97457410","",""
"de:09463:71611:0:2","Coburg Tagesklinik","50.24879063","10.97437647","",""
"de:09463:71616:0:1","Coburg Dr.-Hans-Schack-Str.","50.24738899","10.97605632","",""
"de:09463:71616:0:3","Coburg Dr.-Hans-Schack-Str.","50.24730857","10.97605632","",""
"de:09463:71621:0:1","Coburg Lukaskirche","50.24738325","10.98052094","",""
"de:09463:71621:0:2","Coburg Lukaskirche","50.24770494","10.97967653","",""
"de:09463:71621:0:3","Coburg Lukaskirche","50.24841150","10.97989212","",""
"de:09463:71626:0:1","Ketschend./CO Neue Heimat","50.24567710","10.98231757","",""
"de:09463:71626:0:2","Ketschend./CO Neue Heimat","50.24568859","10.98219181","",""
"de:09463:71631:0:1","Ketschend./CO Neue Heimat Mitte","50.24516008","10.97811346","",""
"de:09463:71631:0:2","Ketschend./CO Neue Heimat Mitte","50.24517731","10.97793379","",""
"de:09463:71636:0:1","Ketschend./CO Neue Heimat Schule","50.24493603","10.97399019","",""
"de:09463:71636:0:2","Ketschend./CO Neue Heimat Schule","50.24498774","10.97425969","",""
"de:09463:71638:0:1","Coburg Ernst-Faber-Str.","50.24861830","10.96744147","","Parentde:09463:71638"
"de:09463:71638:0:2","Coburg Ernst-Faber-Str.","50.24868149","10.96732469","","Parentde:09463:71638"
"de:09463:71646:0:1","Coburg Güterbahnhof","50.24805535","10.96416262","",""
"de:09463:71646:0:2","Coburg Güterbahnhof","50.24805535","10.96416262","",""
"de:09463:71648:0:1","Coburg Karchestr.","50.25000267","10.96250074","",""
"de:09463:71648:0:2","Coburg Karchestr.","50.24972120","10.96277922","",""
